Dataset	Alignment	AliFilter	BMGE	ClipKIT	Gblocks	Noisy	trimAl
Dataset1	11	483,350,1,0	483,351,0,0	483,339,12,0	466,351,0,17	270,323,28,213	460,351,0,23
Dataset1	110	156,2,0,0	154,2,0,2	156,2,0,0	142,2,0,14	114,2,0,42	148,2,0,8
Dataset1	111	105,56,0,1	105,56,0,1	106,25,31,0	101,56,0,5	82,55,1,24	104,56,0,2
Dataset1	112	130,47,0,1	130,47,0,1	131,40,7,0	118,47,0,13	102,41,6,29	130,47,0,1
Dataset1	113	125,74,0,2	124,74,0,3	127,51,23,0	115,74,0,12	101,49,25,26	123,74,0,4
Dataset1	114	126,4,0,1	126,4,0,1	126,4,0,1	117,4,0,10	101,4,0,26	126,4,0,1
Dataset1	115	83,134,0,0	78,134,0,5	83,108,26,0	76,134,0,7	65,114,20,18	82,134,0,1
Dataset1	116	92,16,0,0	92,16,0,0	92,11,5,0	87,16,0,5	66,14,2,26	90,16,0,2
Dataset1	117	371,270,0,8	325,270,0,54	379,144,126,0	289,270,0,90	317,177,93,62	319,270,0,60
Dataset1	118	937,598,0,14	901,598,0,50	951,199,399,0	816,598,0,135	695,266,332,256	911,598,0,40
Dataset1	119	437,204,0,10	419,204,0,28	447,91,113,0	339,204,0,108	400,114,90,47	410,204,0,37
Dataset1	12	81,71,0,0	79,71,0,2	81,40,31,0	64,71,0,17	72,63,8,9	80,71,0,1
Dataset1	120	426,115,1,0	416,116,0,10	426,72,44,0	358,116,0,68	372,89,27,54	410,116,0,16
Dataset1	121	479,393,0,1	476,393,0,4	480,384,9,0	468,393,0,12	397,373,20,83	476,393,0,4
Dataset1	122	262,44,0,1	260,44,0,3	263,32,12,0	242,44,0,21	199,29,15,64	248,44,0,15
Dataset1	123	265,555,0,10	243,555,0,32	275,470,85,0	217,555,0,58	250,475,80,25	228,555,0,47
Dataset1	124	375,122,0,6	360,122,0,21	381,58,64,0	311,122,0,70	334,102,20,47	364,122,0,17
Dataset1	125	609,158,0,7	595,158,0,21	616,70,88,0	558,158,0,58	407,143,15,209	586,158,0,30
Dataset1	125b	617,343,0,22	598,343,0,41	639,309,34,0	511,343,0,128	561,303,40,78	616,343,0,23
Dataset1	126	241,335,1,0	234,336,0,7	241,280,56,0	185,336,0,56	186,301,35,55	226,336,0,15
Dataset1	127	236,271,0,13	220,271,0,29	249,24,247,0	185,271,0,64	208,65,206,41	221,271,0,28
Dataset1	128	336,135,0,1	330,135,0,7	337,99,36,0	297,135,0,40	278,123,12,59	335,135,0,2
Dataset1	129	284,177,0,7	250,177,0,41	291,91,86,0	178,177,0,113	269,103,74,22	204,172,5,87
Dataset1	13	250,202,1,1	232,203,0,19	251,121,82,0	181,203,0,70	228,164,39,23	218,203,0,33
Dataset1	130	409,18,0,0	407,18,0,2	409,18,0,0	398,18,0,11	294,17,1,115	409,18,0,0
Dataset1	131	249,50,1,0	240,51,0,9	249,39,12,0	206,51,0,43	189,19,32,60	221,51,0,28
Dataset1	132	971,328,2,39	927,330,0,83	1010,184,146,0	858,330,0,152	752,274,56,258	903,330,0,107
Dataset1	133	173,1548,0,0	173,1548,0,0	173,690,858,0	132,1548,0,41	159,1299,249,14	163,1548,0,10
Dataset1	134	243,52,0,3	238,52,0,8	246,25,27,0	227,52,0,19	194,24,28,52	241,52,0,5
Dataset1	135	325,376,0,7	317,376,0,15	332,296,80,0	217,376,0,115	321,296,80,11	251,339,37,81
Dataset1	136	160,12,0,0	158,12,0,2	160,10,2,0	149,12,0,11	130,1,11,30	160,12,0,0
Dataset1	14	341,531,0,13	308,531,0,46	354,168,363,0	232,531,0,122	315,465,66,39	335,531,0,19
Dataset1	15	289,212,1,15	269,213,0,35	304,80,133,0	180,213,0,124	278,140,73,26	190,212,1,114
Dataset1	16	508,16,0,0	508,16,0,0	508,14,2,0	505,16,0,3	235,13,3,273	507,16,0,1
Dataset1	17	367,75,0,10	357,75,0,20	377,44,31,0	313,75,0,64	241,64,11,136	341,75,0,36
Dataset1	18	288,16,0,9	286,16,0,11	297,5,11,0	280,16,0,17	192,15,1,105	277,16,0,20
Dataset1	19	467,74,0,1	456,74,0,12	468,41,33,0	435,74,0,33	355,50,24,113	465,74,0,3
Dataset1	2	169,9,0,0	169,9,0,0	169,1,8,0	155,9,0,14	152,4,5,17	167,9,0,2
Dataset1	20	824,219,0,8	801,219,0,31	832,97,122,0	780,219,0,52	617,105,114,215	775,219,0,57
Dataset1	21	200,818,1,8	175,819,0,33	208,472,347,0	114,819,0,94	176,760,59,32	144,818,1,64
Dataset1	22	162,3,0,0	162,3,0,0	162,2,1,0	155,3,0,7	139,0,3,23	162,3,0,0
Dataset1	23	544,358,0,2	541,358,0,5	546,338,20,0	522,358,0,24	339,332,26,207	534,358,0,12
Dataset1	24	308,170,0,2	291,170,0,19	310,138,32,0	234,170,0,76	248,140,30,62	281,170,0,29
Dataset1	25	488,441,0,8	439,441,0,57	496,262,179,0	370,441,0,126	449,322,119,47	416,441,0,80
Dataset1	26	638,204,0,3	634,204,0,7	641,110,94,0	582,204,0,59	478,127,77,163	594,204,0,47
Dataset1	27	452,774,0,575	432,774,0,595	840,774,0,187	357,774,0,670	703,380,394,324	1016,359,415,11
Dataset1	28	387,230,0,12	351,230,0,48	399,90,140,0	249,230,0,150	379,129,101,20	281,223,7,118
Dataset1	29	429,11,2,0	426,12,1,3	429,2,11,0	391,13,0,38	334,5,8,95	414,13,0,15
Dataset1	3	879,643,1,2	852,644,0,29	881,487,157,0	765,644,0,116	674,542,102,207	844,644,0,37
Dataset1	30	976,730,0,21	881,730,0,116	997,461,269,0	576,730,0,421	885,489,241,112	784,709,21,213
Dataset1	31	489,193,0,8	459,193,0,38	497,78,115,0	408,193,0,89	438,123,70,59	422,193,0,75
Dataset1	32	292,68,2,0	277,70,0,15	292,34,36,0	219,70,0,73	238,38,32,54	270,70,0,22
Dataset1	33	182,22,0,0	180,22,0,2	182,13,9,0	155,22,0,27	149,14,8,33	179,22,0,3
Dataset1	34	121,22,0,2	112,22,0,11	123,11,11,0	102,22,0,21	104,14,8,19	120,22,0,3
